Domain,Surface,User action,Source file,Source symbol,Current destination type,Current destination,Expected destination type,Expected Native destination,Blocker ID,Severity,Status,Notes
Navigation hub,Master Navigation Drawer,Tap Live Studio,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/live/studio,native_route,/pulse/live/studio,,,PASS,Native pre-flight (device/camera/network readiness + setup) that starts a native LiveKit broadcast in-app.
Navigation hub,Master Navigation Drawer,Tap Pulse Radio,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/music#pulse-radio,native_route,/pulse/music#pulse-radio,,,PASS,"Native PulseSoc Music, upload portal, and approved radio pool."
Marketplace / Commerce,Master Navigation Drawer,Tap Marketplace,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/marketplace,native_route,/pulse/marketplace,,,PASS,Native marketplace browse and media payloads.
Marketplace / Commerce,Master Navigation Drawer,Tap Seller Store,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/seller-store,native_route,/pulse/seller-store,,,PASS,Seller lifecycle and store management.
Marketplace / Commerce,Master Navigation Drawer,Tap Create Listing,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/marketplace/create,native_route,/pulse/marketplace/create,,,PASS,Seller listing composer.
Marketplace / Commerce,Master Navigation Drawer,Tap Seller Inventory,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/economy/seller-tools,native_route,/dashboard/economy/seller-tools,,,PARTIAL,Seller-owned listings and inventory controls.
Marketplace / Commerce,Master Navigation Drawer,Tap Buyer Orders,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/orders,native_route,/pulse/orders,,,PASS,Purchase history and buyer commerce state.
Marketplace / Commerce,Master Navigation Drawer,Tap Premium,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/premium,native_route,/pulse/premium,,,PASS,"Premium plan, entitlements, and billing boundaries."
UNDX / Intelligence,Master Navigation Drawer,Tap UNDX,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/ai,native_route,/pulse/ai,,,PASS,Digital Intelligence Companion.
UNDX / Intelligence,Master Navigation Drawer,Tap Intelligence Center,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/intelligence,native_route,/pulse/intelligence,,,PASS,"Streams, events, forecasts, sources, and alert overview."
UNDX / Intelligence,Master Navigation Drawer,Tap Alert Management,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/alerts,native_route,/pulse/alerts,,,PASS,"Crypto, market, and intelligence alert controls."
UNDX / Intelligence,Master Navigation Drawer,Tap Crypto Command,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/crypto/alerts,native_route,/dashboard/crypto/alerts,,,PARTIAL,Crypto alerts and command-center shell.
UNDX / Intelligence,Master Navigation Drawer,Tap Watchlists,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/crypto/watchlists,native_route,/dashboard/crypto/watchlists,,,PARTIAL,Crypto and market watchlist shell.
UNDX / Intelligence,Master Navigation Drawer,Tap Scam Shield,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/scam-shield/scan,native_route,/scam-shield/scan,,,PASS,Scam and safety scan gateway.
Account / Security,Master Navigation Drawer,Tap Account Center,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/dashboard/account/settings,native_route,/dashboard/account/settings,,,PASS,"Account, settings, and preferences."
Account / Security,Master Navigation Drawer,Tap Security Center,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/dashboard/account/security,native_route,/dashboard/account/security,,,PASS,"Password, sessions, devices, and active security state."
Account / Security,Master Navigation Drawer,Tap Privacy Center,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/settings/privacy,native_route,/pulse/settings/privacy,,,PASS,Privacy settings and boundaries.
Account / Security,Master Navigation Drawer,Tap Verification,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/verification,native_route,/pulse/verification,,,PASS,Identity and badge verification.
Account / Security,Master Navigation Drawer,Tap Account Health,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/account-health,native_route,/pulse/account-health,,,PASS,"Standing, enforcement history, and appeals."
Account / Security,Master Navigation Drawer,Tap Safety Hub,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/safety,native_route,/pulse/safety,,,PASS,"Blocks, mutes, reports, and safety controls."
Account / Security,Master Navigation Drawer,Tap Support,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/support,native_route,/pulse/support,,,PASS,"Trust, safety, and support shell."
Navigation hub,Master Navigation Drawer,Tap Notifications,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/notifications,native_route,/pulse/notifications,,,PASS,Notification and activity categories.
Navigation hub,Master Navigation Drawer,Tap Notification Preferences,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/network/notifications,native_route,/dashboard/network/notifications,,,PARTIAL,Notification settings shell.
Legal / Privacy,Master Navigation Drawer,Tap Terms,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,fallback,/terms,native_route,/terms,NRB-008,P2,BLOCKED,Legal document provider boundary.
Legal / Privacy,Master Navigation Drawer,Tap Privacy Policy,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,fallback,/privacy,native_route,/privacy,NRB-009,P2,BLOCKED,Legal document provider boundary.
Navigation hub,Master Navigation Drawer,Tap System Status,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/system/feed,native_route,/dashboard/system/feed,,,PARTIAL,Native dashboard module shell.
Navigation / Routing,Root stack,Navigate to UserDashboard,mobile-native/src/navigation/AppNavigator.tsx,UserDashboardScreen,native_screen,UserDashboard,native_screen,UserDashboard,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to UserDashboardWeb,mobile-native/src/navigation/AppNavigator.tsx,UserDashboardScreen,native_screen,UserDashboardWeb,native_screen,UserDashboardWeb,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to DashboardComposeAlias,mobile-native/src/navigation/AppNavigator.tsx,DashboardActionAliasScreen,native_screen,DashboardComposeAlias,native_screen,DashboardComposeAlias,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to DashboardMusicAlias,mobile-native/src/navigation/AppNavigator.tsx,DashboardActionAliasScreen,native_screen,DashboardMusicAlias,native_screen,DashboardMusicAlias,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Music,mobile-native/src/navigation/AppNavigator.tsx,MusicScreen,native_screen,Music,native_screen,Music,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to PulseQueue,mobile-native/src/navigation/AppNavigator.tsx,PulseQueueScreen,native_screen,PulseQueue,native_screen,PulseQueue,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to DashboardLegacyModule,mobile-native/src/navigation/AppNavigator.tsx,DashboardLegacyModuleScreen,native_screen,DashboardLegacyModule,native_screen,DashboardLegacyModule,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to DashboardModuleDetail,mobile-native/src/navigation/AppNavigator.tsx,DashboardModuleDetailScreen,native_screen,DashboardModuleDetail,native_screen,DashboardModuleDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to CameraStudio,mobile-native/src/navigation/AppNavigator.tsx,CameraStudioScreen,native_screen,CameraStudio,native_screen,CameraStudio,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ContentPreview,mobile-native/src/navigation/AppNavigator.tsx,ContentPreviewScreen,native_screen,ContentPreview,native_screen,ContentPreview,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Call,mobile-native/src/navigation/AppNavigator.tsx,CallScreen,native_screen,Call,native_screen,Call,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Chat,mobile-native/src/navigation/AppNavigator.tsx,ChatScreen,native_screen,Chat,native_screen,Chat,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to NewChat,mobile-native/src/navigation/AppNavigator.tsx,NewChatScreen,native_screen,NewChat,native_screen,NewChat,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to PostDetail,mobile-native/src/navigation/AppNavigator.tsx,PostDetailScreen,native_screen,PostDetail,native_screen,PostDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Reels,mobile-native/src/navigation/AppNavigator.tsx,ReelsScreen,native_screen,Reels,native_screen,Reels,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ReelDetail,mobile-native/src/navigation/AppNavigator.tsx,ReelsScreen,native_screen,ReelDetail,native_screen,ReelDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to StatusDetail,mobile-native/src/navigation/AppNavigator.tsx,StatusScreen,native_screen,StatusDetail,native_screen,StatusDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to MarketplaceDetail,mobile-native/src/navigation/AppNavigator.tsx,MarketplaceScreen,native_screen,MarketplaceDetail,native_screen,MarketplaceDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to SellerStore,mobile-native/src/navigation/AppNavigator.tsx,SellerStoreScreen,native_screen,SellerStore,native_screen,SellerStore,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to BuyerOrders,mobile-native/src/navigation/AppNavigator.tsx,BuyerOrdersScreen,native_screen,BuyerOrders,native_screen,BuyerOrders,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to BuyerOrderDetail,mobile-native/src/navigation/AppNavigator.tsx,BuyerOrdersScreen,native_screen,BuyerOrderDetail,native_screen,BuyerOrderDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to BuyerPurchases,mobile-native/src/navigation/AppNavigator.tsx,BuyerOrdersScreen,native_screen,BuyerPurchases,native_screen,BuyerPurchases,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to BuyerOrdersDashboard,mobile-native/src/navigation/AppNavigator.tsx,BuyerOrdersScreen,native_screen,BuyerOrdersDashboard,native_screen,BuyerOrdersDashboard,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to MerchantApply,mobile-native/src/navigation/AppNavigator.tsx,SellerStoreScreen,native_screen,MerchantApply,native_screen,MerchantApply,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to MerchantDashboard,mobile-native/src/navigation/AppNavigator.tsx,SellerStoreScreen,native_screen,MerchantDashboard,native_screen,MerchantDashboard,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to MerchantProfile,mobile-native/src/navigation/AppNavigator.tsx,SellerStoreScreen,native_screen,MerchantProfile,native_screen,MerchantProfile,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to MarketplaceCreateGateway,mobile-native/src/navigation/AppNavigator.tsx,SellerListingComposerScreen,native_screen,MarketplaceCreateGateway,native_screen,MarketplaceCreateGateway,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Search,mobile-native/src/navigation/AppNavigator.tsx,SearchScreen,native_screen,Search,native_screen,Search,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Saved,mobile-native/src/navigation/AppNavigator.tsx,SavedScreen,native_screen,Saved,native_screen,Saved,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to GroupDetail,mobile-native/src/navigation/AppNavigator.tsx,GroupsScreen,native_screen,GroupDetail,native_screen,GroupDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to LiveDetail,mobile-native/src/navigation/AppNavigator.tsx,LiveScreen,native_screen,LiveDetail,native_screen,LiveDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to LiveStudio,mobile-native/src/navigation/AppNavigator.tsx,LiveStudioScreen,native_screen,LiveStudio,native_screen,LiveStudio,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to NativeLiveHost,mobile-native/src/navigation/AppNavigator.tsx,LiveHostSessionScreen,native_screen,NativeLiveHost,native_screen,NativeLiveHost,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ReplayViewer,mobile-native/src/navigation/AppNavigator.tsx,ReplayViewerScreen,native_screen,ReplayViewer,native_screen,ReplayViewer,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Events,mobile-native/src/navigation/AppNavigator.tsx,EventsScreen,native_screen,Events,native_screen,Events,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to EventDetail,mobile-native/src/navigation/AppNavigator.tsx,EventsScreen,native_screen,EventDetail,native_screen,EventDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to LiveScheduleGateway,mobile-native/src/navigation/AppNavigator.tsx,EventsScreen,native_screen,LiveScheduleGateway,native_screen,LiveScheduleGateway,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to LiveEventCreateGateway,mobile-native/src/navigation/AppNavigator.tsx,EventsScreen,native_screen,LiveEventCreateGateway,native_screen,LiveEventCreateGateway,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ProfileDetail,mobile-native/src/navigation/AppNavigator.tsx,ProfileScreen,native_screen,ProfileDetail,native_screen,ProfileDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ProfileEdit,mobile-native/src/navigation/AppNavigator.tsx,ProfileEditScreen,native_screen,ProfileEdit,native_screen,ProfileEdit,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Premium,mobile-native/src/navigation/AppNavigator.tsx,PremiumScreen,native_screen,Premium,native_screen,Premium,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to CreatorStudio,mobile-native/src/navigation/AppNavigator.tsx,CreatorStudioScreen,native_screen,CreatorStudio,native_screen,CreatorStudio,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to CreatorStudioAlias,mobile-native/src/navigation/AppNavigator.tsx,CreatorStudioScreen,native_screen,CreatorStudioAlias,native_screen,CreatorStudioAlias,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ContentPlanner,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,ContentPlanner,native_screen,ContentPlanner,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ContentPlannerWeb,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,ContentPlannerWeb,native_screen,ContentPlannerWeb,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to ContentPlannerPulseAlias,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,ContentPlannerPulseAlias,native_screen,ContentPlannerPulseAlias,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to PostScheduler,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,PostScheduler,native_screen,PostScheduler,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to PostSchedulerPulseAlias,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,PostSchedulerPulseAlias,native_screen,PostSchedulerPulseAlias,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to DraftStudio,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,DraftStudio,native_screen,DraftStudio,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to DraftStudioPulseAlias,mobile-native/src/navigation/AppNavigator.tsx,ContentPlannerScreen,native_screen,DraftStudioPulseAlias,native_screen,DraftStudioPulseAlias,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to Courses,mobile-native/src/navigation/AppNavigator.tsx,CoursesLearningScreen,native_screen,Courses,native_screen,Courses,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to CourseDetail,mobile-native/src/navigation/AppNavigator.tsx,CoursesLearningScreen,native_screen,CourseDetail,native_screen,CourseDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to LearningLessonDetail,mobile-native/src/navigation/AppNavigator.tsx,CoursesLearningScreen,native_screen,LearningLessonDetail,native_screen,LearningLessonDetail,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to TeacherProfileGateway,mobile-native/src/navigation/AppNavigator.tsx,CoursesLearningScreen,native_screen,TeacherProfileGateway,native_screen,TeacherProfileGateway,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to TeacherDashboardGateway,mobile-native/src/navigation/AppNavigator.tsx,CoursesLearningScreen,native_screen,TeacherDashboardGateway,native_screen,TeacherDashboardGateway,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to GrowthCenter,mobile-native/src/navigation/AppNavigator.tsx,GrowthCenterScreen,native_screen,GrowthCenter,native_screen,GrowthCenter,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to IntelligenceCenter,mobile-native/src/navigation/AppNavigator.tsx,IntelligenceCenterScreen,native_screen,IntelligenceCenter,native_screen,IntelligenceCenter,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AlertManagement,mobile-native/src/navigation/AppNavigator.tsx,AlertManagementScreen,native_screen,AlertManagement,native_screen,AlertManagement,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to CryptoAlertManagement,mobile-native/src/navigation/AppNavigator.tsx,AlertManagementScreen,native_screen,CryptoAlertManagement,native_screen,CryptoAlertManagement,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountCenter,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountCenter,native_screen,AccountCenter,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountSettings,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountSettings,native_screen,AccountSettings,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountSecurity,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountSecurity,native_screen,AccountSecurity,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountWebSettings,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountWebSettings,native_screen,AccountWebSettings,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountWebSecurity,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountWebSecurity,native_screen,AccountWebSecurity,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountPrivacy,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountPrivacy,native_screen,AccountPrivacy,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountDevices,mobile-native/src/navigation/AppNavigator.tsx,AccountCenterScreen,native_screen,AccountDevices,native_screen,AccountDevices,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountHealth,mobile-native/src/navigation/AppNavigator.tsx,AccountHealthAppealsScreen,native_screen,AccountHealth,native_screen,AccountHealth,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to AccountHealthWeb,mobile-native/src/navigation/AppNavigator.tsx,AccountHealthAppealsScreen,native_screen,AccountHealthWeb,native_screen,AccountHealthWeb,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to SafetyHub,mobile-native/src/navigation/AppNavigator.tsx,SafetyHubScreen,native_screen,SafetyHub,native_screen,SafetyHub,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to SafetyWebHub,mobile-native/src/navigation/AppNavigator.tsx,SafetyHubScreen,native_screen,SafetyWebHub,native_screen,SafetyWebHub,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to TrustSafety,mobile-native/src/navigation/AppNavigator.tsx,TrustSafetyScreen,native_screen,TrustSafety,native_screen,TrustSafety,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
Navigation / Routing,Root stack,Navigate to TrustSafetySupport,mobile-native/src/navigation/AppNavigator.tsx,TrustSafetyScreen,native_screen,TrustSafetySupport,native_screen,TrustSafetySupport,,,PASS,Registered native stack screen; workflow parity still depends on surface-specific blockers.
