work_id,source,agent,branch,commit,files,subsystem,description,dependencies,main_status,production_status,classification,action,destination_commit,test_status,deploy_status,basis
REF-main,branch,unknown,main,5f24c970edba,,(see per-commit rows),2 commit(s) with no patch-id twin upstream; 0 already equivalent,,ABSENT,NOT_OBSERVED,SUPERSEDED,rebuilt on the pinned base,"d6248c30, aaf73b46, 9b1862e1",n/a,n/a,f1b74e89/5f24c970/a41f1b15 are this mission's own Phase 1 work on a local main that had drifted; rebuilt on pinned d007e2ba
REF-preserve-bold-hodgkin-media-work,branch,unknown,preserve/bold-hodgkin-media-work,77e34b54c8bf,,(whole ref),"6 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-backup-translation-current,branch,unknown,origin/backup/translation-current,bd845a737f91,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-backup-undx-fixes-3456cd73,branch,unknown,origin/backup/undx-fixes-3456cd73,3456cd73707e,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-adoring-shirley-647df4,branch,claude,origin/claude/adoring-shirley-647df4,401de8ffb237,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-businessos-perf-flake,branch,claude,origin/claude/businessos-perf-flake,405470581bd7,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-dreamy-easley-33b2a3,branch,claude,origin/claude/dreamy-easley-33b2a3,36ea307d2b83,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-dreamy-williamson-82bffc,branch,claude,origin/claude/dreamy-williamson-82bffc,0c12ee763fcf,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-ecstatic-sanderson-f621e3,branch,claude,origin/claude/ecstatic-sanderson-f621e3,1169e44421ab,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-elegant-meitner-6ef296,branch,claude,origin/claude/elegant-meitner-6ef296,23f830c154e3,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-eloquent-golick-1ce78c,branch,claude,origin/claude/eloquent-golick-1ce78c,8a2b814cb70f,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-fervent-chatelet-59f225,branch,claude,origin/claude/fervent-chatelet-59f225,091d646431c6,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-flamboyant-einstein-4510cf,branch,claude,origin/claude/flamboyant-einstein-4510cf,a856843f76cd,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-friendly-kare-2eeaeb,branch,claude,origin/claude/friendly-kare-2eeaeb,b6182304c56f,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-happy-lalande-31ed6b,branch,claude,origin/claude/happy-lalande-31ed6b,e084b188f16f,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-intelligent-spence-e65a89,branch,claude,origin/claude/intelligent-spence-e65a89,cde44157f7bc,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-loving-banach-1ed134,branch,claude,origin/claude/loving-banach-1ed134,31d9685aaaa4,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-naughty-jepsen-4586d4,branch,claude,origin/claude/naughty-jepsen-4586d4,fe5d4d156d6a,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-nostalgic-neumann-d9391f,branch,claude,origin/claude/nostalgic-neumann-d9391f,997903cf3f6e,,(see per-commit rows),4 commit(s) with no patch-id twin upstream; 0 already equivalent,,ABSENT,NOT_OBSERVED,OBSOLETE,not ported; one invariant carried out of it,ca6edd56,n/a,n/a,"origin twin of claude/nostalgic-neumann-d9391f, same 4 patch ids; see that row"
REF-origin-claude-peaceful-tharp-038571,branch,claude,origin/claude/peaceful-tharp-038571,a45c43316134,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-premium-subscription-details,branch,claude,origin/claude/premium-subscription-details,1ae798868127,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-premium-watchlist-row,branch,claude,origin/claude/premium-watchlist-row,4cd34455aac1,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-pushkit-callkit-voip,branch,claude,origin/claude/pushkit-callkit-voip,121604e28529,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-qa-groups-rooms,branch,claude,origin/claude/qa-groups-rooms,5d12e3521e65,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-recursing-antonelli-a52df6,branch,claude,origin/claude/recursing-antonelli-a52df6,311a091a8c3a,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-recursing-lumiere-cf0475,branch,claude,origin/claude/recursing-lumiere-cf0475,97519394b26a,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-relaxed-jepsen-326109,branch,claude,origin/claude/relaxed-jepsen-326109,2c587b6b6439,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-suspicious-kepler-f0579c,branch,claude,origin/claude/suspicious-kepler-f0579c,4a874e38c00b,,(whole ref),"1 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-trusting-neumann-381eb0,branch,claude,origin/claude/trusting-neumann-381eb0,06e641b1d1b3,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-claude-web-native-parity-census,branch,claude,origin/claude/web-native-parity-census,7dfd5acf8dc6,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-agora-rtc-migration,branch,codex,origin/codex/agora-rtc-migration,11b8d99490b8,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-agora-rtc-migration.lock.moved.5,branch,codex,origin/codex/agora-rtc-migration.lock.moved.5,b34f47b2b5ac,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-app-review-final-readiness,branch,codex,origin/codex/app-review-final-readiness,1ec72577caad,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-apple-iap-root-ca-g3,branch,codex,origin/codex/apple-iap-root-ca-g3,72b3a6a02eb1,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-automated-account-branding-production,branch,codex,origin/codex/automated-account-branding-production,6a3f724ffe48,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-automated-account-branding-verification,branch,codex,origin/codex/automated-account-branding-verification,d5157e163bfa,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-continue-development-on-coinpilotxai,branch,codex,origin/codex/continue-development-on-coinpilotxai,4d653bd707e3,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-crypto-reuse-lock,branch,codex,origin/codex/crypto-reuse-lock,99fd3f31877c,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-emergency-live-audio-recovery,branch,codex,origin/codex/emergency-live-audio-recovery,6f667c243de6,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-founding-path,branch,codex,origin/codex/founding-path,73b34f35d895,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-governed-realtime-audio,branch,codex,origin/codex/governed-realtime-audio,ef2d09e393fe,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-live-shared-audio-engine,branch,codex,origin/codex/live-shared-audio-engine,5f7830abfd66,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-livestream-audio-route-v2,branch,codex,origin/codex/livestream-audio-route-v2,b76e8721568d,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-persistent-crypto-delivery-lock,branch,codex,origin/codex/persistent-crypto-delivery-lock,2ce1929c55a0,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-premium-crypto-intelligence,branch,codex,origin/codex/premium-crypto-intelligence,09f4a416981f,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-profile-posts-production,branch,codex,origin/codex/profile-posts-production,d84f51a8c2da,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-sentinel-production-activation,branch,codex,origin/codex/sentinel-production-activation,1ca3ab72ae93,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-store-dashboard-live,branch,codex,origin/codex/store-dashboard-live,c5e523d62516,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-undx-local-memory-ingest,branch,codex,origin/codex/undx-local-memory-ingest,7f75af193d70,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-undx-multi-model-fabric,branch,codex,origin/codex/undx-multi-model-fabric,4c43597b184c,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-undx-save-memory,branch,codex,origin/codex/undx-save-memory,92b2693fc089,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-undx-translation-release,branch,codex,origin/codex/undx-translation-release,bd845a737f91,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-undx-v3-preservation-20260719,branch,codex,origin/codex/undx-v3-preservation-20260719,cd8206e4ce17,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-unified-realtime-audio-foundation,branch,codex,origin/codex/unified-realtime-audio-foundation,cb3b1d97b2de,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-video-call-audio-controls-20260726,branch,codex,origin/codex/video-call-audio-controls-20260726,56f4d0a7d76e,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-codex-work-on-it,branch,codex,origin/codex/work-on-it,7cc67fae3c1d,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-feat-business-profile-live,branch,unknown,origin/feat/business-profile-live,c99faf32ebaf,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-feat-sentinel-server-defense-mesh,branch,unknown,origin/feat/sentinel-server-defense-mesh,907d92c75356,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-feature-spatial-console,branch,unknown,origin/feature/spatial-console,5a6a4f8da645,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-fix-briefings-evaluate-without-push-subscription,branch,unknown,origin/fix/briefings-evaluate-without-push-subscription,3a85554ab6d3,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-fix-briefings-notification-type-mapping,branch,unknown,origin/fix/briefings-notification-type-mapping,975bb3a27abe,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-fix-presence-schema-deadlock,branch,unknown,origin/fix/presence-schema-deadlock,2b25ef4d97d2,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-fix-status-rail-placeholder-translation,branch,unknown,origin/fix/status-rail-placeholder-translation,eacb6ab261b2,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-integration-release-backend-deploy,branch,unknown,origin/integration/release-backend-deploy,1426189193d0,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-preserve-private-office-wip-20260902,branch,unknown,origin/preserve/private-office-wip-20260902,a679dcedfba8,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-release-full-sweep-20260826,branch,unknown,origin/release/full-sweep-20260826,16d4a98aa22c,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-release-undx-nexus-core-v4,branch,unknown,origin/release/undx-nexus-core-v4,5260a9203ca6,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-release-undx-sovereign-mind-v3,branch,unknown,origin/release/undx-sovereign-mind-v3,6cce67280898,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-origin-work-localization-i18n-wave,branch,unknown,origin/work/localization-i18n-wave,a1fd0bbf71c2,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
DANGLING-DUPLICATES,dangling,unknown,,(174 commits),,(various),unreachable commits whose patch id is already upstream,,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,"git cherry three-arg form, '-' prefix"
DANGLING-UNCLASSIFIABLE,dangling,unknown,,(18 commits),,(various),"merge commits: no single diff, therefore no patch id. Reported rather than dropped; each one's result is reachable from main",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,subject match upstream; no patch id exists to compare
ORPHAN-4709beed48,dangling,unknown,,4709beed482f,"4 files changed, 225 insertions(+), 3 deletions(-)",(see subject),fix(live): stop failing healthy broadcasts on a playout signal a host cannot produce,,PARTIAL,NOT_OBSERVED,SUPERSEDED,none — main is stronger,,n/a,n/a,52/60 distinctive lines present in main
ORPHAN-0e4ad82f97,dangling,unknown,,0e4ad82f9735,"7 files changed, 2 insertions(+), 6 deletions(-)",(see subject),chore: keep private Office uploads out of source control,,UNKNOWN,NOT_OBSERVED,OBSOLETE,none — trivial commit,,n/a,n/a,only 0 distinctive lines — no evidence either way
ORPHAN-91812060a0,dangling,unknown,,91812060a0ad,"65 files changed, 3833 insertions(+), 189 deletions(-)",(see subject),"Snapshot working tree: multi-mission in-progress work (ads, marketplace, account, chat, events, dashboards, notifications, media/cover system, bot.py)",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,60/60 distinctive lines present in main
ORPHAN-bf87d82821,dangling,unknown,,bf87d828212b,"6 files changed, 57 insertions(+), 106 deletions(-)",(see subject),"Revert ""fix(reels): derive navigator visibility from swipe direction""",,ABSENT,NOT_OBSERVED,OBSOLETE,none,,n/a,n/a,2/46 distinctive lines present in main
ORPHAN-7e8ce422f8,dangling,unknown,,7e8ce422f8f2,"2 files changed, 166 insertions(+), 40 deletions(-)",(see subject),Premium Command Center: rich clickable Premium spaces + Verified Identity,,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,60/60 distinctive lines present in main
ORPHAN-5ee6868fa1,dangling,unknown,,5ee6868fa1a6,"8 files changed, 2971 insertions(+), 2 deletions(-)",(see subject),tmp,,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,59/60 distinctive lines present in main
ORPHAN-d1faaa8fbc,dangling,unknown,,d1faaa8fbc61,"6 files changed, 106 insertions(+), 57 deletions(-)",(see subject),fix(reels): derive navigator visibility from swipe direction,,ABSENT,NOT_OBSERVED,OBSOLETE,none,,n/a,n/a,10/60 distinctive lines present in main
ORPHAN-9d0a3fb7d7,dangling,unknown,,9d0a3fb7d7b2,"1 file changed, 1 insertion(+), 4 deletions(-)",(see subject),Keep the route_auth imports on one line,,UNKNOWN,NOT_OBSERVED,OBSOLETE,none — trivial commit,,n/a,n/a,only 1 distinctive lines — no evidence either way
ORPHAN-571383ef68,dangling,unknown,,571383ef68be,"1 file changed, 58 insertions(+), 22 deletions(-)",(see subject),Record the commit and push outcome in the verification matrix,,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,34/36 distinctive lines present in main
ORPHAN-7b21f70652,dangling,unknown,,7b21f70652b1,"5 files changed, 425 insertions(+)",(see subject),feat(premium): dual-provider purchase-option resolver + StoreKit test config,,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,60/60 distinctive lines present in main
ORPHAN-b75db5534a,dangling,unknown,,b75db5534ae9,"65 files changed, 3833 insertions(+), 189 deletions(-)",(see subject),"Snapshot working tree: multi-mission in-progress work (ads, marketplace, account, chat, events, dashboards, notifications, media/cover system, bot.py)",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,60/60 distinctive lines present in main
